record_id|financial_year|constituency|ward|project_name|project_category|project_description|approved_budget_zmw|amount_disbursed_zmw|amount_spent_zmw|project_status|completion_percentage|approval_date|completion_date|beneficiaries|contractor|source_title|source_url|date_accessed|notes
LCC-CDF-CAND-011|2025|Kabwata||Works are underway to pave some roads in Kabwata Constituency.|Road infrastructure|Works are underway to pave some roads in Kabwata Constituency. This will undoubtedly improve infrastructure, ease transportation, and enhance residents’ quality of life once completed. These works are funded through the CDF.||||Completed||||||Works are underway to pave some roads in Kabwata Constituency.|https://www.lcc.gov.zm/works-are-underway-to-pave-some-roads-in-kabwata-constituency/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-012|2025|Matero||LUSAKA PROVINCIAL LOCAL GOVERNMENT OFFICER LAUDS CDF PROJECTS IN MATERO CONSTITUENCY|Health infrastructure|Lusaka Provincial Local Government Officer Charlston Hamulyata has expressed satisfaction with the effective implementation of Constituency Development Fund (CDF) projects in Matero Constituency. Leading a team of Lusaka City Council (LCC) CDF monitoring officers, Mr. Hamulyata said the carefully implemented projects will greatly benefit the community as they directly align with their needs. With CDF now decentralised, Mr. Hamulyata noted that the fund has become a game-changer for local...||||Approved||||||LUSAKA PROVINCIAL LOCAL GOVERNMENT OFFICER LAUDS CDF PROJECTS IN MATERO CONSTITUENCY|https://www.lcc.gov.zm/lusaka-provincial-local-government-officer-lauds-cdf-projects-in-matero-constituency/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-013|2025|Mandevu||Hon. Christopher Shakafuswa Monitors Progress of CDF Projects in Mandevu Constituency|Health infrastructure|Mandevu Constituency Member of Parliament Hon. Christopher Shakafuswa, today undertook a comprehensive monitoring and evaluation exercise of ongoing projects funded under the Constituency Development Fund (CDF). This initiative underscores his commitment to promoting good governance, transparency, and accountability in the utilization of public resources. The monitoring tour covered key infrastructure developments aimed at improving service delivery and the quality of life for residents of...||||Unknown||||||Hon. Christopher Shakafuswa Monitors Progress of CDF Projects in Mandevu Constituency|https://www.lcc.gov.zm/hon-christopher-shakafuswa-monitors-progress-of-cdf-projects-in-mandevu-constituency/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-014|2025|Mandevu||MANDEVU COMMUNITY ENGAGED ON DEVELOPMENT INITIATIVE|Education infrastructure|Hon. Christopher Shakafuswa Member of Parliament for Mandevu Constituency, successfully conducted a four-day community engagement exercise across all eight (8) wards of the constituency. The engagement sessions which brought together the Member of Parliament, Ward Development Committee (WDC) members and Ward Councilors, served as a vital platform for direct interaction with residents. The objective of the meetings was to listen to the concerns of the community and gather input on priority...||||Unknown||||||MANDEVU COMMUNITY ENGAGED ON DEVELOPMENT INITIATIVE|https://www.lcc.gov.zm/mandevu-community-engaged-on-development-initiative/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-015|2025|||GOVERNMENT PUSHES FOR INTEGRATED CDF IMS ROLLOUT: COLLABORATION KEY, SAYS LOCAL GOVERNMENT PERMANENT SECRETARY|Community infrastructure|The Ministry of Local Government and Rural Development Permanent Secretary for Technical Services, Mr. Nicholas Phiri, has urged local councils to promptly update their Constituency Development Fund (CDF) dashboards. Speaking when he officially opened the Orientation Workshop for the rollout of the Integrated Constituency Development Fund (CDF) Information Management System at the Civic Centre in Lusaka today, Mr. Phiri emphasised that CDF initiatives have significantly impacted many people’s...||||Completed||||||GOVERNMENT PUSHES FOR INTEGRATED CDF IMS ROLLOUT: COLLABORATION KEY, SAYS LOCAL GOVERNMENT PERMANENT SECRETARY|https://www.lcc.gov.zm/government-pushes-for-integrated-cdf-ims-rollout-collaboration-key-says-local-government-permanent-secretary/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-016|2025|||LCC DELIVERS OVER 21,000 SCHOOL DESKS AND 130 CLASSROOMS ACROSS LUSAKA CONSTITUENCIES SINCE 2022|Education infrastructure|The Lusaka City Council (LCC) has made significant strides in improving the education sector through the Constituency Development Fund (CDF). Between the years 2022 and 2025, the Council delivered 130 classrooms to 7 constituencies, enhancing the learning environment in various schools. This initiative has helped decongest overcrowded classrooms and accommodate new pupils, particularly with the implementation of the free education policy. The additional classrooms have provided a more conducive...||||Unknown||||||LCC DELIVERS OVER 21,000 SCHOOL DESKS AND 130 CLASSROOMS ACROSS LUSAKA CONSTITUENCIES SINCE 2022|https://www.lcc.gov.zm/lcc-delivers-over-21000-school-desks-and-130-classrooms-across-lusaka-constituencies-since-2022/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-017|2025|Munali||MUNALI CONSTITUENCY EMBARKS ON DOCUMENTING CDF BURSARY SUCCESS STORIES|Education infrastructure|In a bid to showcase the impact of the Constituency Development Fund (CDF), Lusaka City Council’s District Planning Officer (DPO), Mr. Ronald Ngala has led a team of Council Officers on a tour to document bursary success stories from pupils and students sponsored through CDF under Munali Constituency. The exercise aims to highlight the transformative impact that CDF has had on learners and learning institutions. It also seeks to inform the general public on the importance of CDF, appreciate the...||||Unknown||||||MUNALI CONSTITUENCY EMBARKS ON DOCUMENTING CDF BURSARY SUCCESS STORIES|https://www.lcc.gov.zm/munali-constituency-embarks-on-documenting-cdf-bursary-success-stories-2/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-018|2025|Matero||MADIMBA WATER PROJECT TO IMPROVE SOURCE OF WATER FOR MWEMBESHI WARD|Education infrastructure|The Lusaka City Council (LCC) has made significant progress in addressing water challenges in Matero Constituency through the Madimba Water Reticulation Project. Funded by the 2023 Constituency Development Fund, the project involves drilling two solar-powered boreholes to supply clean water to the community. Previously, residents of Mwembeshi Ward in Matero Constituency relied on shallow wells, which posed health risks due to the potential for disease outbreaks like cholera and typhoid. The new...||||Unknown|98|||||MADIMBA WATER PROJECT TO IMPROVE SOURCE OF WATER FOR MWEMBESHI WARD|https://www.lcc.gov.zm/madimba-water-project-to-improve-source-of-water-for-mwembeshi-ward/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-019|2025|||OVER 300 CDF APPLICATION FORMS DISTRIBUTED AT THE AGRICULTURAL AND COMMERCIAL SHOW|Education infrastructure|OVER 300 CDF APPLICATION FORMS DISTRIBUTED AT THE AGRICULTURAL AND COMMERCIAL SHOW The Lusaka City Council has made significant strides in ensuring residents’ access to the Constituency Development Fund (CDF) with over 300 application forms distributed at the 97th Agricultural and Commercial Show. This initiative provides opportunities for residents to benefit from the fund across various categories, including Skills Development, Secondary School Bursaries, Loans and Grants. These categories...||||Unknown||||||OVER 300 CDF APPLICATION FORMS DISTRIBUTED AT THE AGRICULTURAL AND COMMERCIAL SHOW|https://www.lcc.gov.zm/over-300-cdf-application-forms-distributed-at-the-agricultural-and-commercial-show/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-020|2025||Ward 5; through Kamwala Ward 5|LUSAKA CITY COUNCIL EMPOWERS YOUTH THROUGH SKILLS DEVELOPMENT|Education infrastructure|Meet Agnes Kalunga, a dedicated student enrolled in the Food Production course at the Kamwala Skills Training Centre, a school run by Lusaka City Council through the Housing and Social Services Department and accredited by TEVETA. Agnes is supported by the Constituency Development Fund (CDF) through Kamwala Ward 5, reflecting the government’s commitment to empowering youth through education and skills development. She encourages her fellow youths to apply for CDF-sponsored programs, emphasizing...||||Unknown||||||LUSAKA CITY COUNCIL EMPOWERS YOUTH THROUGH SKILLS DEVELOPMENT|https://www.lcc.gov.zm/lusaka-city-council-empowers-youth-through-skills-development/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-021|2025||CDF BRINGS RELIEF TO LILAYI WARD 4; Mafuta and residents of Lilayi Ward 4; WARD 4; Ward 4|CDF BRINGS RELIEF TO LILAYI WARD 4 WITH NEW ADMISSION WARDS AND MATERNITY ANNEX|Health infrastructure|Councillor Bright Mafuta and residents of Lilayi Ward 4 have expressed their appreciation for the construction of the newly built admission wards and maternity annex, made possible through the Constituency Development Fund (CDF). This development is a significant milestone in improving healthcare services in the area, providing better facilities for patients and expectant mothers. The CDF initiative demonstrates the government’s commitment to enhancing the well-being of citizens, particularly...||||Unknown||||||CDF BRINGS RELIEF TO LILAYI WARD 4 WITH NEW ADMISSION WARDS AND MATERNITY ANNEX|https://www.lcc.gov.zm/cdf-brings-relief-to-lilayi-ward-4-with-new-admission-wards-and-maternity-annex/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-022|2025|||the government is constructing the Kamwala Health Post using the Constituency Development Fund (CDF)|Health infrastructure|In an effort to provide accessible healthcare services to Kamwala South residents, the government is constructing the Kamwala Health Post using the Constituency Development Fund (CDF). Significant progress has been made on the construction of the facility, which is steadily approaching completion. The health post is expected to enhance access to essential healthcare services for more than 50,000 residents of Kamwala South, Kamulanga and surrounding areas, offering a much-needed solution to...||||Unknown||||||the government is constructing the Kamwala Health Post using the Constituency Development Fund (CDF)|https://www.lcc.gov.zm/the-government-is-constructing-the-kamwala-health-post-using-the-constituency-development-fund-cdf/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-023|2025|Mandevu|Phineas Walukowa of Kabanana Ward 27; Ward 27|EVALASTING YOUTH CLUB APPLAUDS GOVERNMENT FOR CDF EMPOWERMENT|Other community development|A 2025 Constituency Development Fund (CDF) grant beneficiary under Mandevu Constituency, Mr. Phineas Walukowa of Kabanana Ward 27, has commended the Government for the continued support towards youth empowerment through the CDF initiative. Evalasting Youth Club, a cooperative group comprising 10 members (both men and women), was among the 113 cooperative groups in Mandevu that benefitted from the 2025 CDF allocation, which disbursed over K2.4 million in grants. The group received K22,000.00...||||Unknown||||||EVALASTING YOUTH CLUB APPLAUDS GOVERNMENT FOR CDF EMPOWERMENT|https://www.lcc.gov.zm/evalasting-youth-club-applauds-government-for-cdf-empowerment/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-024|2025|Kabwata; Lusaka Central; Mandevu; Matero||LUSAKA CITY COUNCIL ILLUMINATES ROADS WITH SOLAR STREET LIGHTS|Road infrastructure|The Lusaka City Council has taken a significant step towards enhancing road safety and security by installing 231 solar street lights in four constituencies, namely Kabwata, Lusaka Central, Mandevu, and Matero. The installations of the solar powered lights were done between 2022 and 2024 using the Constituency Development Fund (CDF) at a cost of K8,177,169.00. This initiative aims to improve visibility on roads, particularly at night, and reduce accidents caused by poor visibility....||||Unknown||||||LUSAKA CITY COUNCIL ILLUMINATES ROADS WITH SOLAR STREET LIGHTS|https://www.lcc.gov.zm/lusaka-city-council-illuminates-roads-with-solar-street-lights/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-025|2025|Mandevu|Ward 20; the club based in Roma Ward 20|𝑾𝒐𝒎𝒆𝒏’𝒔 𝑪𝒉𝒊𝒄𝒌𝒆𝒏 𝑹𝒆𝒂𝒓𝒊𝒏𝒈 𝑽𝒆𝒏𝒕𝒖𝒓𝒆 𝑻𝒖𝒓𝒏𝒔 𝑷𝒐𝒗𝒆𝒓𝒕𝒚 𝒊𝒏𝒕𝒐 𝑷𝒓𝒐𝒔𝒑𝒆𝒓𝒊𝒕𝒚 𝑻𝒉𝒓𝒐𝒖𝒈𝒉 𝑪𝑫𝑭 𝑺𝒖𝒑𝒑𝒐𝒓𝒕|Road infrastructure|In a powerful testament to resilience and determination, a group of ten women has defied the odds, rising from financial hardships through poultry farming after securing a K24,000 Constituency Development Fund (CDF) grant in 2022. Margret Simuyandi, Chairperson of the club, recounts how the journey began, with unwavering hope and a well-prepared business proposal presented to the Ward Development Committee (WDC). Against stiff competition, the club based in Roma Ward 20 of Mandevu Constituency,...||||Unknown||||||𝑾𝒐𝒎𝒆𝒏’𝒔 𝑪𝒉𝒊𝒄𝒌𝒆𝒏 𝑹𝒆𝒂𝒓𝒊𝒏𝒈 𝑽𝒆𝒏𝒕𝒖𝒓𝒆 𝑻𝒖𝒓𝒏𝒔 𝑷𝒐𝒗𝒆𝒓𝒕𝒚 𝒊𝒏𝒕𝒐 𝑷𝒓𝒐𝒔𝒑𝒆𝒓𝒊𝒕𝒚 𝑻𝒉𝒓𝒐𝒖𝒈𝒉 𝑪𝑫𝑭 𝑺𝒖𝒑𝒑𝒐𝒓𝒕|https://www.lcc.gov.zm/%f0%9d%91%be%f0%9d%92%90%f0%9d%92%8e%f0%9d%92%86%f0%9d%92%8f%f0%9d%92%94-%f0%9d%91%aa%f0%9d%92%89%f0%9d%92%8a%f0%9d%92%84%f0%9d%92%8c%f0%9d%92%86%f0%9d%92%8f-%f0%9d%91%b9%f0%9d%92%86/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-026|2025|Lusaka Central||The government has commenced the construction of a mortuary at Bauleni Mini Hospital.|Health infrastructure|In an effort to address the challenges of mortuary services in Bauleni and surrounding areas in Lusaka Central Constituency, the government has commenced the construction of a mortuary at Bauleni Mini Hospital. The project, currently at foundation level, is being funded using the 2025 Constituency Development Fund (CDF). The facility will help reduce the long distances residents previously had to travel to access these services.||||Unknown||||||The government has commenced the construction of a mortuary at Bauleni Mini Hospital.|https://www.lcc.gov.zm/the-government-has-commenced-the-construction-of-a-mortuary-at-bauleni-mini-hospital/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-027|2025|Kabwata||LCC SOON TO COMMISSION 14 NEW HEALTH FACILITIES ACROSS LUSAKA|Health infrastructure|LCC SOON TO COMMISSION 14 NEW HEALTH FACILITIES ACROSS LUSAKA The Lusaka City Council (LCC) is on the verge of completing and commissioning 14 health facilities constructed across the seven constituencies in Lusaka, designed to improve healthcare delivery. The health facilities, which include maternity wings and admission wards, have been constructed at a total cost of K12,576,210.4 using the Constituency Development Fund (CDF). Among these facilities, which are almost at completion level, are...||||Unknown||||||LCC SOON TO COMMISSION 14 NEW HEALTH FACILITIES ACROSS LUSAKA|https://www.lcc.gov.zm/lcc-soon-to-commission-14-new-health-facilities-across-lusaka/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-028|2025|||JOHN LAIGN RESIDENTS REJOICE OVER NEW HEALTH POST|Health infrastructure|JOHN LAIGN RESIDENTS REJOICE OVER NEW HEALTH POST A senior citizen in John Laign compound thanks the government for constructing the area’s first health post, a significant development that will save residents from traveling long distances for medical care.||||Unknown||||||JOHN LAIGN RESIDENTS REJOICE OVER NEW HEALTH POST|https://www.lcc.gov.zm/john-laign-residents-rejoice-over-new-health-post/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-029|2025|Kanyama|Ward 15; s Mukolo Ward 15|IMPROVED HEALTH INFRASTRUCTURE IS KEY TO COMMUNITY DEVELOPMENT|Health infrastructure|IMPROVED HEALTH INFRASTRUCTURE IS KEY TO COMMUNITY DEVELOPMENT Kanyama Constituency’s Mukolo Ward 15 Councilor, Kaliko Evans, says the upcoming commissioning of the maternity ward at Linda Health Post will improve healthcare delivery for Linda residents.||||Unknown||||||IMPROVED HEALTH INFRASTRUCTURE IS KEY TO COMMUNITY DEVELOPMENT|https://www.lcc.gov.zm/improved-health-infrastructure-is-key-to-community-development/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-030|2025|||Chainama Special Primary School funded by the Constituency Development Fund (CDF)|Education infrastructure|The Head Teacher of Chainama Special Primary School has hailed the government for constructing a 1×3 classroom block, funded by the Constituency Development Fund (CDF). The school has now enrolled for Grade eight as a result of increased classroom spaces.||||Unknown||||||Chainama Special Primary School funded by the Constituency Development Fund (CDF)|https://www.lcc.gov.zm/chainama-special-primary-school-funded-by-the-constituency-development-fund-cdf/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-031|2025|Lusaka Central|A Primary School in Kabulonga Ward 19; Ward 19|Community engagement and sensitisation of CDF continues in Lusaka Central Constituency.|Education infrastructure|Community engagement and sensitisation of CDF continues in Lusaka Central Constituency. Today the team interacted with residents at State Lodge A Primary School in Kabulonga Ward 19. #CDF Community Engagements #LUSAKA CENTRAL CONSTITUENCY||||Unknown||||||Community engagement and sensitisation of CDF continues in Lusaka Central Constituency.|https://www.lcc.gov.zm/community-engagement-and-sensitisation-of-cdf-continues-in-lusaka-central-constituency/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-032|2025|||Bauleni to get Maternity Annex and Mortuary through CDF|Health infrastructure|Bauleni to get Maternity Annex and Mortuary through CDF By Donaria Phiri Preparations have started in the construction of a new Maternity wing and a Mortuary at Bauleni Mini-Hospital in Lusaka. The two facilities will be constructed using the 2022 and 2023 Constituency Development Fund – #CDF – at a combined cost of three million kwacha.||||Unknown||||||Bauleni to get Maternity Annex and Mortuary through CDF|https://www.lcc.gov.zm/bauleni-to-get-maternity-annex-and-mortuary-through-cdf/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-033|2025|Lusaka Central||A team from Lusaka City Council, in collaboration with Ward Development Committees (WDCs)|Other community development|A team from Lusaka City Council, in collaboration with Ward Development Committees (WDCs), is conducting a 3-day sensitization exercise in Lusaka Central Constituency on the Constituency Development Fund (CDF). This initiative aims to educate residents on the benefits and utilization of CDF, promoting transparency and accountability in the management of community projects.||||Unknown||||||A team from Lusaka City Council, in collaboration with Ward Development Committees (WDCs)|https://www.lcc.gov.zm/a-team-from-lusaka-city-council-in-collaboration-with-ward-development-committees-wdcs/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-034|2025|Chawama|Ward 4; drainage system in Lilayi Ward 4|LCC Completes Chifundo Road drainage system, near completion of Lilayi close road project|Water and sanitation|LCC COMPLETES CHIFUNDO ROAD DRAINAGE SYSTEM, NEARS COMPLETION OF LILAYI CLOSE ROAD PROJECT The Lusaka City Council (LCC) has completed the construction of the Chifundo Road drainage system in Chawama Constituency, funded by the 2023 Constituency Development Fund (CDF) at a total cost of K2.3 million. Additionally, the construction of the 2.2-kilometer Lilayi Close Road and accompanying drainage system in Lilayi Ward 4, Chawama Constituency, is nearing completion. The project involves grading...||||Completed|85|||||LCC Completes Chifundo Road drainage system, near completion of Lilayi close road project|https://www.lcc.gov.zm/lcc-completes-chifundo-road-drainage-system-near-compleetion-of-lilayi-close-road-project/|2026-09-11|Automatically extracted candidate; requires manual verification.
